Review ID,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,IATA CODE
3811,Alaska Airlines,2,"""dishonest fare tactics""",9th July 2023,True,"  Just went to book Psp to Sfo. At the end of the long process, Alaska Airlines informed me that my seats were no longer available. They made me start completely over, could not just start me in the seating chart. When I got to seats, my seats were still available. But my fare was about a 3rd more expensive. This is flat dishonest. I used to fly even more often. Alaska used to be the best airline. All of the new nickle and diming and inflexibility and now dishonest fare tactics; management has clearly changed. I will not be choosing Alaska Airlines over more honest airlines again.",,Business,First Class,Palm Springs to San Francisco,2022-11-01,,,,,,,2.0,no,AS
3812,Alaska Airlines,9,"""plenty of legroom in Economy Class""",9th July 2023,True,"  _x000D_
Due to flight cancellations and inability get a standby flight to YVR on United, I chose to fly to Seattle to get closer to Vancouver. The 737 MAX 9 is a very comfortable aircraft with plenty of legroom in Economy Class. Flight crew as friendly and provided the usual refreshments and snacks. If Alaska Airlines had more flights from DFW I would not hesitate to fly it again.",Boeing 737-MAX 9,Family Leisure,Economy Class,San Francisco to Seattle,2023-06-01,5.0,5.0,4.0,4.0,,,5.0,yes,AS
3813,Alaska Airlines,1,""" A great job by all""",3rd July 2023,False,"  Arrived at Dulles and had to declare a firearm in my checked baggage. AA employee Sahira assisted me and she was training at least 8 new employees. She was efficient, pleasant and quick even while training. My bag was unintentionally put on the conveyor before it was X-rayed by TSA. Sahira and the entire group disappeared and retrieved the bag in only 15 minutes and helped us finish our processing through TSA. The entire group of new employees were eager and happy and it was the best airport experience Iâ€™ve had in years. A great job by all especially Sahira! She is a credit to Alaska Airlines.",,Family Leisure,Economy Class,Washington to Spokane via San Diego,2023-07-01,4.0,4.0,,5.0,,,5.0,yes,AS
3814,Alaska Airlines,1,"""They have changed for the worst""",1st July 2023,False,"  My wife and I have exclusively used Alaska Airlines for the past 15 years with great satisfaction. On the last trip in June we found they have changed! They no longer provide even adequate service but donâ€™t care for their customers in the least and will lie when they get caught in bad service. I have 150,000 miles and my wife has 124,000 miles Both Elite and MVP customers. But they treated us poorly, didnâ€™t care that we fly first class or anything, I was actually threatened by a gate agent supervisor and her supervisor. Customer Service didnâ€™t care less and just ignored us. They have changed for the worst.",,Couple Leisure,First Class,Dallas Fort-Worth to Kodiak,2023-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,AS
3815,Alaska Airlines,2,"""delayed arrival of airplane""",1st July 2023,True,  An almost 2hr delay with super clear skies because of their own reasons: delayed arrival of airplane and then waiting 50 min in the plain to get a lane to fly.,,Couple Leisure,Economy Class,San Francisco to Seattle,2023-06-01,3.0,3.0,2.0,3.0,2.0,,3.0,no,AS
3816,Alaska Airlines,1,"""I do not recommend this airline""",27th June 2023,True,"  This is my second review. When I was finally able to reach an Alaska Airlines representative by phone and explain the situation, I learned that there was no unaccompanied minor status applied to our child when the reservation was made by phone, contrary to what my husband was told by the airline representative at the time of purchase. I was informed when I was making my complaint that unaccompanied minor status was only paid for and applied at time of check in. Why didnâ€™t the phone representative inform my husband when he placed the reservation? I also learned Alaska Airlines is focused on money more than a minorâ€™s safety. I explained that I had been allowed to accompany my child to the gate for the departing flight and the supervisor I was speaking to exclaimed, â€œAnd she didnâ€™t charge you!â€ I would not have expected to be charged just as I did not expect to fill out a form during check-in because we believed we had paid it as part of the rather expensive ticket we already paid. The supervisor criticized me for not searching out this information on the website. We believed everything was taken care of because we had Spoken to Alaska airline representatives, both when we made the reservation and during check-in. Apparently representativeâ€™s words cannot be trusted. Because of the lack of competency on the part of Alaska airlines, our minor child was not met by the guardian at the gate upon arrival. The guardian was not allowed to accompany our minor child through security on the return flight, and was not present as guardian and witness when our minor child was searched all around their privates by TSA. Because of Alaska airlines incompetency, I was not allowed to meet my own child at the gate. If I had not directly asked the representative what was required when I was denied a gate pass, I never we would have even heard about the â€œyellow form â€œ. Alaska Airlines is worse than the Keystone cops and I do not recommend this airline to anyone.",,Solo Leisure,Economy Class,Burbank to Boise,2023-06-01,,,,1.0,,,1.0,no,AS
3817,Alaska Airlines,1,"""Alaska is my airline of choice""",19th June 2023,True," Gate check in was short staffed and not overly helpful. In fairness it was a full flight and they looked busy. Flight Crew was a different story, they were beyond amazing! Thomas, Becca and the other 2 attendants were all so kind, and helpful. There was a medical emergency on the flight and all of them worked together to provide support. I have so much respect for the crew and Alaska is my airline of choice!",,Solo Leisure,Economy Class,Honolulu to Seattle,2023-06-01,3.0,5.0,4.0,3.0,4.0,5.0,4.0,yes,AS
3818,Alaska Airlines,1,"""Zero marks for customer care""",18th June 2023,True,"  Our luggage is lost. It was supposed to come on next flight and be delivered to us last night or else by 9am this morning. There is still no sign of it and absolutely no communication from the airline. The phone number I was given is not working. They are not responding to my emails. We have a six day holiday in San Diego and the first day is already destroyed. Well done Air Alaska. Also, they were ""left short"" on restocking so the only refreshment we received on our flight was a 250ml carton of water that tasted vile. A relatively minor complaint but another example of lack of concern or regard for customers. Zero marks for customer care.",,Solo Leisure,Economy Class,San Francisco to San Diego,2023-06-01,2.0,2.0,1.0,2.0,,,1.0,no,AS
3819,Alaska Airlines,1,"""not impressed at all""",17th June 2023,True," I am not impressed at all with the staff, convenience, or customer service. I booked a cruise and I booked the flights to and from through Air to Sea. I was supposed to be on first class because I am clausty and have a terrible fear of flying. I realized I was not booked correctly. I reached out to Air to Sea and they said no problem, just download the apps and change seats. On my flight there I was booked on American Airlines. I went on the app, easily upgraded to first class, the staff was super helpful, and they even upgraded my entire family for free! The flight was comfy, the staff on the plane were great, and I had zero panic attacks. Not the same experience with Alaska Airlines. They would not help me. They told me we had plenty up upgrades available and it was a small fee to upgrade. Then the staff said never mind we can't help you because you went through Air to Sea. So we called Air to Sea that said they can't help because the airline does not allow them to see first class. After going back and forth we got both sides on the phone at the same time where Alaska Airlines said they would upgrade us for over $1,000 a ticket! Wow. Horrible customer service, very petty because we booked through Air to Sea, treated us terrible like we had done something wrong, not to mention plenty of seating they are refusing to sell us. They should be ashamed and they reminded me of why I will always be loyal to American Airlines!",,Family Leisure,Premium Economy,Seattle to Dallas,2023-06-01,2.0,1.0,1.0,1.0,1.0,,1.0,no,AS
3820,Alaska Airlines,3,"""Disappointing first experience2",3rd June 2023,True,  They damaged a brand new bag I checked in at Kahului and I cannot use the telescopic handle any more. When I pointed this out to their representative Val at Seattle Airport he told me I wasn't entitled to any compensation. After an overnight flight I was too tired to push my case and accepted what he said. But when I arrived at my hotel and emptied the bag to check the mechanism I discovered the mechanism at the bottom of the suitcase bent which has now jammed the handle making it useless. This is obviously from damage from poor handling. Their web site freezes regularly and there is no way to even send them a message to claim compensation or take this matter further. Having flown Hawaiian Airlines to many islands in Hawaii and enjoying the warm and genuine friendly and cheerful staff on Hawaiian it was a stark contrast traveling with Alaska Airlines for the first time. Whereas the flight attendants on Hawaiian greet every passenger when boarding my wife and I noticed that he Flight Attendants on Alsaka were too busy talking to each other when we boarded to even greet us! Service on board was also very indifferent and you got the feeling they were just going through the motions until the aircraft got to its destination. Disappointing first experience and maybe no more!,Boeing 737,Couple Leisure,Economy Class,Kahului to Seattle,2023-05-01,2.0,2.0,,3.0,,,3.0,no,AS
3821,Alaska Airlines,1,"""She is truly an asset""",23rd May 2023,False,"  My 87 year-old mother and myself have done this same trip 3x, And each time we have been serviced by Patricia (from Mahlon Sweet Airport in Eugene). She is the best agent you have. She made sure we had everything we needed -- my mom requires wheelchair assistance, so flying is especially stressful!! She helped us through every check point and even took some pictures as we boarded the plane.  She is truly an asset to Horizon Air and Alaska Airlines.",,Family Leisure,Economy Class,Eugene to San Diego,2023-05-01,5.0,5.0,5.0,5.0,,,5.0,yes,AS
3822,Alaska Airlines,9,"""Super kind and accommodating""",21st May 2023,False,  Traveling musician headed to Tampa for 3 shows. Have my expensive guitar with me and was offered a place to stow it in the flight attendants closet onboard. Huge shout out to Shelly and Shari on AK flight 326 from Seattle to Tampa on 5/21 9:15am! Super kind and accommodating. I canâ€™t thank you enough.,Boeing 737,Business,Economy Class,Seattle to Tampa,2023-05-01,4.0,5.0,5.0,5.0,4.0,4.0,5.0,yes,AS
3823,Alaska Airlines,1,"""worst airline company ever""",9th May 2023,True,"  This was the worst airline company ever. Check in staff are not properly trained. The girl that was suppose to be helping me check in doesnâ€™t know hat to do, she keeps on asking the manager for help and her other colleague. Manager and colleague also doesnâ€™t know what sheâ€™s doing. She keeps making phone calls then she came back to confirm that yes I as in-fact correct that a lap infant has a free check in luggage allowance. We missed our international due to their lack of knowledge, negligence, and irresponsibility. They refuse to book us with another flight so we donâ€™t have to miss our flight, they didnâ€™t.  I told them that we donâ€™t have money to pay for extra since we struggled just to pay for our existing tickets. This is the only time that I felt that if youâ€™re poor, they donâ€™t care, people or company will just step all over you. I was willing for them to fix the problem so that we can still leave to go to Philippines. I even told them that we can sleep at the airport floor and willing to fly the next day. Both EVA air and Alaska air will not do anything about it. We ended up staying at hotel hampton inn and picked the cheapest room possible and kept making phone calls after phone calls because Alaska air said this. ",7M9,Family Leisure,Economy Class,Chicago to San Francisco,2023-05-01,2.0,,,1.0,,,1.0,no,AS
3824,Alaska Airlines,1,"""big thank you to all at Alaska Airlines""",3rd May 2023,False,"  I had a delayed flight into Tacoma from London with American Airlines, which mention I missed my connection to Kona with Alaska Airlines. Was told by an American Airlines representative that everything would be sorted, like our flight to Kona the next day and our over night stay in Tacoma. But when I approached someone at the American Airlines desk they wanted nothing to do with it. They said it was an Alaska Airlines problem because it was an Alaska Airlines we had missed. Which I disagree with as it was an American Airlines delayed flight that caused us to miss our connecting flight to Kona. So I then went to Alaska Airlines desk, they couldn't have been more helpful. They booked our flights to Kona the next day, booked a night at the Comfort Inn and gave us food vouchers with no cost to us. I would highly recommend Alaska Airlines to fly with as I still don't think it was there problem to look after us like they did. We had a great fight to Kona the next day, friendly cheerful cabin crew, clean air craft. I hope to fly with you in future and a big thank you to all at Alaska Airlines from Steven and Jacqueline from Scotland.",Boeing 737-9 max,Couple Leisure,Economy Class,Tacoma to Kona,2023-05-01,4.0,5.0,4.0,5.0,,,4.0,yes,AS
3825,Alaska Airlines,2,"""they kept switching gates""",30th April 2023,True,  The management is not at all good. Seat assignment is always messed up. They made me wait till the last minute for the seat assignment. Also they kept switching gates which was very confusing,,Solo Leisure,Economy Class,Chicago to Seattle,2023-04-01,1.0,2.0,2.0,1.0,,3.0,4.0,no,AS
3826,Alaska Airlines,1,"""my last flight with them""",29th April 2023,True,"  One of the reasons I fly first class is the first class lounge. I pay (on average) triple the price. I went to the lounge today and was turned back with the excuse that they changed the rules to accommodate their members, that is, unless I pay an additional $30. Apparently, the $30 allows them to bend the new rules. It's not about the members, it's about the money. Just another way they are taking care of their customers. I fly about 8-10 trips per year, all of them with Alaska Airlines. Im pretty stubborn, so I mean it when I say that this is my last flight with them.",,Solo Leisure,First Class,Seattle to Phoenix,2023-04-01,4.0,4.0,3.0,3.0,,,1.0,no,AS
3827,Alaska Airlines,3,"""unorganized, unpleasant, rude""",28th April 2023,True,"  First time flyer on Alaska Airlines, completely disappointed. Very unorganized, unpleasant, rude. Sad to say my flight on United was 100% better. They seemed to be confused an struggling get us boarded, flight attendants were rude and not helpful or pleasant.",,Solo Leisure,Economy Class,Seattle to Detroit,2023-04-01,2.0,1.0,3.0,1.0,1.0,1.0,1.0,no,AS
3828,Alaska Airlines,8,"""great customer assistance by the staff""",27th April 2023,False,"  Smooth flight round trip and witnessed a lot of patience and great customer assistance by the staff. One of the 6 American Airlines I will fly with and I have flown on small and 4 seater planes and have followed airline travel for decades since I am a huge travel buff. Safety is number one, then customer service, then cost, then on time departures.",,Family Leisure,Premium Economy,Dallas to Seattle,2022-09-01,5.0,5.0,5.0,4.0,5.0,5.0,4.0,yes,AS
3829,Alaska Airlines,1,"""airline is one of the worst""",25th April 2023,True,"  Aircraft was in poor condition. I paid for a premium seat upgrade, and the seat was super narrow and not worth the extra cost. There was no under seat storage for two of the three seats in my row. The overhead bins are miniscule and they ran out of space before half the plane was boarded. The flight attendants were fairly inattentive to their movements and rammed into me multiple times, despite being fully out of the aisle. When beverage service started i spent a solid 5 minutes with the second seat flight attendant's bum repeatedly being shoved in my face. I understand they have a job to do, but the lack of respect for passengers space is abysmal. The airlines need to consider this when designating aisle space. The curtain separating first class is not tied/otherwise secured, and i spent 90% of the flight with it flapping in my face (seat C6). This airline is one of the worst I've had the misfortune to fly with. Every trip has been subpar, but to charge for premium seating and  cram people in like sardines in this row is outrageous. Delta or southwest are far preferable because even when they're awful, they're better than Alaska on a good day. Flights are also super limited with awful flight times for non stops, and ridiculous layovers for multi-stop trips. On board wifi is trash and not worth the $8 they Want out of you. Nothing would load.",737-800 winglet,Solo Leisure,Premium Economy,Cincinnati to Seattle ,2023-04-01,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no,AS
3830,Alaska Airlines,1,"""never fly these people again""",19th April 2023,True,"  The checking agents, and the TSA screening agent suggested that the flight might be delayed. When I got to the gate, I asked them and I was immediately met by hostility from two women who were manning the counter. They stated that would be no delay, but here we are now, about one hour delayed. Everyone knew in advance, but they failed to disclose it, and I called him out on it and they got extremely hostile towards me. I will never fly these people again.",,Business,First Class,Orlando to San Diego,2023-04-01,1.0,1.0,,1.0,,,1.0,no,AS
3831,Alaska Airlines,1,"""Worst service in the industry""",16th April 2023,False,"  Iâ€™m waiting on back surgery. Standing and walking is terribly painful. Went up twice to say I have to please have a wheelchair. Not only no chair but I had to stand in line leaning on my cane for 15 minutes just to have extra time. When I got up to the front and noted I never got the wheelchair, the gate agent dumbly said, â€œthereâ€™s one over there.â€ I pointed out it was unstaffed and I couldnâ€™t push it myself. Got onboard, asked for help putting my little case above me. No, theyâ€™re not â€œallowedâ€ to handle baggage. Man, do I miss Virgin. Worst decision to let Alaska take them over. Worst service in the industry.",,Solo Leisure,Economy Class,New York to San Francisco,2023-04-01,1.0,1.0,,1.0,,,1.0,no,AS
3832,Alaska Airlines,1,"""very disappointed on Alaska Airlines""",5th April 2023,False,"  They lost my car seat they donâ€™t want to be responsible to pay for it to get replaced. I had to buy a new car seat for my v vacation during my stay in San Antonio. They gave me a 75 dollar discount for next flight my car seat was 350. They told me to make a police report which I did and they still going around the bush not acting responsible for it. Iâ€™m very disappointed on Alaska Airlines, I used to absolutely love them. I was able to flight directly from Seattle to San Antonio but you canâ€™t keep flying with someone who thinks itâ€™s okay to leave your child without a car seat.",,Family Leisure,Economy Class,Seattle to San Antonio,2023-02-01,4.0,4.0,4.0,1.0,4.0,4.0,1.0,no,AS
3833,Alaska Airlines,1,"""attendants need some more training""",4th April 2023,True,"  I am very disappointed in the way Iâ€™ve been treated by flight attendants on flight 305 on April 4th 2023. I am not the smallest girl nor am I the largest but I will say I do fit in my seat well but the other two passengers next to me are a little bigger so it doesnâ€™t allow me to sit in my seat all the way and I am pushed to the edge of my seat closest to the isle (my arm is kind of over the armrest where if someone is larger sized walking by they will bump into me). However the flight attendants on this flight seem to be fit and are not overweight at all, which is mind boggling to me because neither one of them walking by that pushed bumped or ran into my arm with the cart are overweight or obese so in my mind thereâ€™s no reason why they should be bumping me in the aggressive way they have been this whole flight so far. Neither of them apologized or even acknowledged me when they did bump into me I find it very unprofessional and unpleasant and I donâ€™t plan on flying with Alaska again after this experience. Even someone on the plane twice the size of Gail turned to where she wasnâ€™t bumping into me. And if that doesnâ€™t prove that these terrible flight attendants have no respect or self awareness then I donâ€™t know what does. All of these flight attendants need some more training on being professional and being considerate of others.",Boeing 737-800/900,Couple Leisure,Economy Class,Seattle to Miami,2023-04-01,1.0,1.0,1.0,2.0,1.0,1.0,3.0,no,AS
3834,Alaska Airlines,2,"""hour to de ice our planeâ€™s wings""",30th March 2023,True," They took 30 minutes to an hour to de ice our planeâ€™s wings before take-off from Boise. Once we arrived in Seattle, our plane sat there for 20 minutes. We arrived to our next gate 5 minutes late and the doors were closed off. We missed our flight, got no refund for those tickets, and had plans ruined.",,Family Leisure,Economy Class,Seattle to Edmonton,2023-03-01,3.0,3.0,3.0,1.0,1.0,1.0,1.0,no,AS
3835,Alaska Airlines,1,"""Absolutely horrid experience""",18th March 2023,False,"  Absolutely horrid experience, terrible customer service. Lost Luggage for more than 3 Months. Don't ever waste your money with Alaska Airlines. Alaska Airlines lost our 3 bags on December 22, 2022. It's been 3 Months, and nothing has been done. We filed a claim in person and online, followed up in person, and have spent many hours on the phone every single week for the last 3 months only to be mistreated and to hear that Alaska Airlines don't take responsibility for their acts. My Family and I were left without clothes, lost many valuable Personal items and expensive gifts bought for Family members. We trusted our luggage to Alaska Airlines, paid for Trip Insurance, have the Baggage Claim tickets, and still are getting no help and being treated as we don't matter. ",,Family Leisure,Economy Class,San Francisco to New York,2022-12-01,1.0,1.0,,1.0,,,1.0,no,AS
3836,Alaska Airlines,7,"""Flight attendants are pretty good""",1st March 2023,False," As a first-time flyer, this definitely was a nice introduction to fast travel by airplane. Pros, then cons. Pros 1) Flight boarding time is usually delayed cause airport security or passenger offloading, so if you've arrived with barely an hour to get to the terminal after going through TSA and boarding pass first, you should reasonably make it. 2) Flight attendants are pretty good about making you comfortable 3) Tolerable wait times for taxiing and whatnot. Cons 1) The twin-engine plane (Boeing 737, I believe) economy seating is just enough to be problematic for anyone who has claustrophobia. Additionally, the fold-out for laptops is only big enough for the PC; you want to use a mouse, well, need to use another fold-out on your right. 2) If want additional elbow room, first-class ticket is necessary 3) Lavatories are small enough that anyone significantly fat will feel cramped. I'm skinny, and anyone who's taken care of his/her body should be able to use them without difficulty.",,Solo Leisure,Economy Class,Seattle to St. Louis,2023-02-01,3.0,4.0,3.0,4.0,,,4.0,yes,AS
3837,Alaska Airlines,1,"""We were treated very well""",1st March 2023,False,"  My wife an I were coming home from a fantastic vacation, during which I severely injured my left leg. We were treated very well on Alaska Air, but Bethany took exceptionally great care of us. I was unable to remain seated due to my injury and she and the other flight attendants made sure that I was as comfortable as possible for the entire flight.",Boeing 737-900,Business,Economy Class,SeaTac to Puerto Vallarta ,2022-12-01,5.0,5.0,5.0,5.0,4.0,5.0,5.0,yes,AS
